id,name,Description,Quantity,ImageURLs,Category,Inventorization,quantityAvailable,Ед. Изм.,Состояние ,Комментарии От Нечаева ,Комментарии кладовщика ,Ответ проектного отдела 
37,Бочки металлические без крышки,"Предназначены для хранения и декорации ,объем 200 литров",23,https://imgur.com/2tJVMwr,Аренда/Декор,,23,шт.,Имеются повреждения,Высоту и диаметр тоже нужно прописать. Также крышки у них в комплекте или как? ,,
38,Бочки металлические со столешницей в виде стула,"Предназначены для хранения и декорации ,объем 200 литров",12,https://imgur.com/wAZzkVd,Аренда/Декор,,12,компл.,Имеются повреждения ,Я думаю тут должно быть другое именование. Нужно согласовать с проектным отделом. Типа Стул- бочка или Стол бочка ,,
39,Бочки металлические со столешницей в виде стола,"Предназначены для хранения и декорации ,объем 200 литров",16,https://imgur.com/uCCads7,Аренда/Декор,,16,шт.,Имеются повреждения ,Я думаю тут должно быть другое именование. Нужно согласовать с проектным отделом. Типа Стул- бочка или Стол бочка ,,
40,Ручной деревянный бубен,"Ударный музыкальный инструмент, небольшая металлическая погремушка колокольчик",3,https://imgur.com/138JMRO,Аренда/Декор ,,3,шт.,Рабочее,Такой категории нет в списке!! Размыленная фотка ,,
41,Буквы игровые мягкие ,Детские игровые буквы для развития и развлечений,1,https://imgur.com/2VYjSYi,Аренда/Аттракционы,,1,компл.,Рабочее,"Думаю нужно дать категорию Аренда/Аксессуары/детские игрушки 
a.mitryakhina@bright.su Насколько нам выгодно держать такие позиции? У меня много вопросов к этой позиции: 
1) Мы не дезинфицируем их
2) Они у нас хранится на пыльном складе, где бегают мыши, ми их иногда травим, а дети могут это в рот себе засунуть. 
3) В целом эти позиции у нас в ужасном состоянии и комплектации. И может быть рентабельнее было обращаться к кому-то за подобными позициями? Ну или пересмотреть наполнение и подход к хранению и безопасности. Одна из ценностей нашей компании!!",,
42,Буквы BRIGHT,Буквы из пенопласта серебристые ,1,https://imgur.com/chRoEfu,Полиграфия/ПВХ,,1,компл.,Имеются повреждения ,, ,
43,Буклетница в кейсе,"Накопитель компактный для буклетов, складная ",2,https://imgur.com/EGZzk1r,Аренда/Доп.оборудование,,2,компл.,Имеются повреждения ,"Это не оргтехника. И правильнее будет сказать, что это не накопитель, а органайзер. ",https://spmag.ru/articles/chto-otnositsya-k-orgtehnike-perechen,
44,Буклетница в чехле,"Накопитель компактный для буклетов, складная ",2,https://imgur.com/m6Eclp1,Аренда/Доп.оборудование,,2,компл.,Имеются повреждения ,Такой категории нет в списке!! Фотография ужасная. Буклетница не развернута в рабочее состояние ,https://spmag.ru/articles/chto-otnositsya-k-orgtehnike-perechen,
45,Бумага упаковочная,Предназначена для упаковки подарков,3,https://imgur.com/RGjJO2A,Расходники/Упаковочный материал,,3,шт.,Рабочее,,,
46,Бумажные браслеты голубые,Бумажные одноразовые браслеты используется для контроля и учета посетителей на любом массовом мероприятии ,160,https://imgur.com/rFj8u7k,Расходники/Бытовой,,160,шт.,Рабочее,,,
47,Бумажные браслеты желтые,Бумажные одноразовые браслеты используется для контроля и учета посетителей на любом массовом мероприятии ,156,https://imgur.com/rFj8u7k,Расходники/Бытовой,,156,шт.,Рабочее,,,
48,Бумажные браслеты зеленые,Бумажные одноразовые браслеты используется для контроля и учета посетителей на любом массовом мероприятии ,162,https://imgur.com/rFj8u7k,Расходники/Бытовой,,162,шт.,Рабочее,,,
49,Бумажные браслеты красные,Бумажные одноразовые браслеты используется для контроля и учета посетителей на любом массовом мероприятии ,159,https://imgur.com/rFj8u7k,Расходники/Бытовой,,159,шт.,Рабочее,,,
50,Бумажные браслеты оранжевые,Бумажные одноразовые браслеты используется для контроля и учета посетителей на любом массовом мероприятии ,165,https://imgur.com/rFj8u7k,Расходники/Бытовой,,165,шт.,Рабочее,,,
51,Бумажные браслеты розовые,Бумажные одноразовые браслеты используется для контроля и учета посетителей на любом массовом мероприятии ,162,https://imgur.com/rFj8u7k,Расходники/Бытовой,,162,шт.,Рабочее,,,
52,Бумажные браслеты синие,Бумажные одноразовые браслеты используется для контроля и учета посетителей на любом массовом мероприятии ,171,https://imgur.com/rFj8u7k,Расходники/Бытовой,,171,шт.,Рабочее,,,
53,Бумажные браслеты фиолетовые,Бумажные одноразовые браслеты используется для контроля и учета посетителей на любом массовом мероприятии ,168,https://imgur.com/rFj8u7k,Расходники/Бытовой,,168,шт.,Рабочее,,,
54,Бутылки с водой 19 литров,Используется для кулера  и бытовых нужд,1,https://imgur.com/pouuXTQ,Расходники/Бытовой,,1,шт.,Рабочее,Необходимо пополнить от нашего постоянного поставщика. ТОго же что и в офис возит ,,
55, Аквариум сферический  большой  ,Материал:Прозрачное стекло ,1,https://imgur.com/CJZfuNd,Аренда/Доп.оборудование,,1,шт.,Рабочее,"У нас фотография в позиции ниже другая, но как будто того же объекта ",,
56, Аквариум сферический  6.3 литра,Материал:Прозрачное стекло ,1,https://imgur.com/WBKT2lO,Аренда/Доп.оборудование,,1,шт.,Рабочее,,,
57,Ваза цилиндрическая  (туба),"Материал: Прозрачное стекло 
Размер: 25см высота,ширина 11см
",5,https://imgur.com/UV8Hg43,Аренда/Доп.оборудование,,5,шт.,Рабочее,Фотографировать без упаковки ,,
58,Ваза маленькая полукруглая,Используется  для декора и оформления,1,https://imgur.com/AbIMEJB,Аренда/Доп.оборудование,,1,шт.,Рабочее,Нужна помощь в наименовании от проектного отдела ,,
59,Ваза стеклянная,Используется  для декора и оформления,1,https://imgur.com/ueErFYN,Аренда/Доп.оборудование,,1,шт.,Рабочее,,,
60,Ваза цилиндрическая  (туба),"Материал: Прозрачное стекло 
Размер: 30см высота,ширина 10см
",3,https://imgur.com/V6oXkPP,Аренда/Доп.оборудование,,3,шт.,Рабочее,Фотография та же самая что и в 57 позиции. И у нас их действительно 17 шт.? ,,
61,Ваза яблоко,Используется  для декора и оформления,24,https://imgur.com/1VhRycv,Аренда/Доп.оборудование,,24,шт.,Рабочее,,,
62,Корзина плетеная высокая,"Ваза плетеная из лозы , используется для декора и оформления.Материал:ротанг",2,https://imgur.com/2Lxvmq7,Аренда/Доп.оборудование,,2,шт.,Рабочее,,,
63,Валенки белые,Одежда для менеджеров и персонала,1,https://imgur.com/xDfyePg,Текстиль/Форма менеджеров,,1,пара.,Рабочее,Такой категории нет в списке!! a.mitryakhina@bright.su мне кажется их либо постирать либо отдать кому-то. У нас их всего лишь одна пара. ,,
64,Валенки с колошами,Одежда для менеджеров и персонала,1,https://imgur.com/QR1e0VS,Текстиль/Форма менеджеров,,1,пара.,Рабочее,Такой категории нет в списке!!,,
65,Ватрушка для катания по снегу,Тюбинг ватрушка предназначена для катания и развлечений в зимний период,2,https://imgur.com/LhdWhGK,Аренда/аттракционы,,2,шт.,Рабочее,Увидеть бы её в реальном состоянии ,Внншний вид у ватрушки вполне  хороший,
66,Ведро темно-синее пластиковое,Ведро пластик с ручкой для жидких и сыпучих материалов,2,https://imgur.com/Ead7agr,Инструменты/Ручной инструмент,,2,шт.,Рабочее,Такой категории нет в списке!!,,
67,Ведро черное пластиковое,Ведро пластик с ручкой для жидких и сыпучих материалов,6,https://imgur.com/Hv7l2bt,Инструменты/Ручной инструмент,,6,шт.,Рабочее,Такой категории нет в списке!!,,
68,Велосипед белый,Используется для декора и оформления,2,https://imgur.com/9yRUene,Инструменты/Ручной инструмент,,2,шт.,Требуется ремонт,,,
69,Веник,Используется для уборки помещений и открытых территорий,6,https://imgur.com/oOulUoS,Инструменты/Ручной инструмент,,6,шт.,Рабочее,Такой категории нет в списке!! Зачем нам на складе хранить 5 шт. веников? a.mitryakhina@bright.su,,
70,Вентилятор напольный белый,Устройство для подачи воздуха для проветривания небольших помещений,3,https://imgur.com/aCvfeYP,Аренда/Техника и освещение,,3,шт.,Рабочее,"Вентилятор это не оргтехника, но и не Доп. оборудование. Это Техника. ",https://spmag.ru/articles/chto-otnositsya-k-orgtehnike-perechen,
71,Вентилятор напольный черный,Используется для проветривания небольших помещений,1,https://imgur.com/Pjm50k4,Аренда/Техника и освещение,,1,шт.,Рабочее,,,
72,Вентилятор черный с орошением,"Мощный вентилятор для открытых  пространств , охлаждает и увлажняет воздух",13,https://imgur.com/GDCxRO6,Аренда/Техника и освещение,,13,шт.,Рабочее,,,
73,Плечики для одежды,"Материал:обивка бархат, для хранения верхней одежды в шкафах",30,https://imgur.com/NpkmV6o,Расходники/Бытовой,,30,шт.,Рабочее,,,
74,Плечики для одежды,"Материал: деревянная, для хранения верхней одежды в шкафах",10,https://imgur.com/ayf8hCf,Расходники/Бытовой,,10,шт.,Рабочее,,,
75,Плечики для одежды,"Материал:пластик, для хранения верхней одежды в шкафах",87,https://imgur.com/mxRJf62,Расходники/Бытовой,,87,шт.,Рабочее,,,
76,Вилы,Используется для уборки помещений и открытых территорий,5,https://imgur.com/kotkgou,Инструменты/Ручной инструмент,,5,шт.,Рабочее,Это не Аренда и не доп оборудование. Подумай хорошенько что это,,
77,Виндер Дуги для флагов,Предназначен для крепления флага,49,https://imgur.com/FdKpZ7Y,Аренда/Тентовые конструкции,,49,шт.,Имеются повреждения ,,,
78,Виндер Палки для флагов,Предназначен для крепления флага,163,https://imgur.com/3kki5gn,Аренда/Тентовые конструкции,,163,шт.,Имеются повреждения ,,,
79,Винтоверт ударный,Предназначен для закручивания и откручивания болтов и других крепежей ,1,https://imgur.com/0MA5nw1,Расходники/Строительные,,1,компл.,Рабочее,Ответственный v.minka@bright.su,,
80,Воланчики,"Снаряд изготовленный из нейлона,предназначен для игры в бадминтон и другие игры",6,https://imgur.com/fh2JCwg,Аренда/Доп.оборудование,,6,шт.,Рабочее,,,
81,Воронка для переливания бензина,Для 92 бензина,1,https://imgur.com/OMjV2YP,Расходники/Бытовой,,1,шт.,Рабочее,Наименование в первую очередь скорректируй. А то мне воронку для бензина испачкают техническими жидкостями. ,,
82,Галстук бабочка ,Аксессуар для менеджеров и персонала,5,https://i.imgur.com/TePlkow.jpg,Текстиль/Форма менеджеров,,5,шт.,Рабочее,Такой категории нет в списке!! ДАЛЬШЕ ПРОВЕРЯТЬ НЕ БУДУ. Задача тебе самостоятельно проверить ,,
83,Гамак,Подвесное ложе для отдыха и сна из материала поликоттон,1,https://imgur.com/rAEg6ro,Аренда/Текстиль,,1,шт.,Рабочее,,,
84,Гантели 5кг,Спортивный инвентарь,1,https://imgur.com/oP40MWR,Аренда/Доп.оборудование,,1,шт.,Рабочее,,,
85,Гардина с занавеской,Предназначена для оформления и декора ,1,https://imgur.com/5F26N1b,Аренда/Декор ,,1,компл.,Неизвестно,Зачем фотографировать запакованную позицию? Мне не от названия и от фотографии не стало понятнее с чем я имею дело ,,
86,"Генератор бензиновый INFORCE 5,5 кВт",Предназначен для снабжения электричеством приборов ,1,https://imgur.com/NQlf9e3,Аренда/Техника и освещение,,1,шт.,Рабочее,,,
87,"Генератор бензиновый INFORCE 7,5 кВт",Предназначен для снабжения электричеством приборов ,1,https://imgur.com/eqvR9w4,Аренда/Техника и освещение,,1,шт.,Рабочее,,,
88,Гиря,"Гиря небольшого размера, 8 кг, предназначена для занятия спортом и оформления",1,https://imgur.com/bt50pzA,Аренда/Аттракционы,,1,шт.,Рабочее,,,
89,Гитара без струн,Декорация и оформление,1,https://imgur.com/wwo0CF0,Аренда/Декор ,,1,шт.,Имеются повреждения ,"Выглядит печально. Как мне кажется, нужно либо выкинуть, либо круто перекрасить  a.mitryakhina@bright.su",,
90,Глобус,Модель земли предназначена для оформления и декора,1,https://imgur.com/JobLp07,Аренда/Декор ,,1,шт.,Рабочее,,,
91,Голова манекена,"Цвет:
 бежевый. Размер:30см
Материал:
Пластик",1,https://imgur.com/lQsBMUt,Аренда/Декор ,,1,шт.,Рабочее,разбить на две позиции ,,
92,Кашпо ,"Кашпо, горшок под цветы 15,7 литров цвет( 1 белый , 2 коричневый)",3,https://imgur.com/XtkpXO4,Аренда/Декор ,,3,шт.,Рабочее,,,
93,Гофра для проводов,"Используется при прокладке электропроводки
Диаметр? 
Длина? ",1,https://imgur.com/rmfRGez,Расходники/Строительные,,1,компл.,Рабочее,Ответственный v.minka@bright.su нужно указать длину и диаметр ,,
94,Картонная коробка ,Предназначена для хранения и транспортировки (размер 60/40),547,https://imgur.com/q0WPetv,Расходники/упаковочный материал,,547,шт.,Рабочее,,,
95,Грабли,Металлические с деревянным черенком,2,https://imgur.com/sHvdpyh,Инструменты/Ручной инструмент,,2,шт.,Рабочее,,,
96,Гуашь 12 цветов,Для творчества и развития ,14,https://imgur.com/6R7HPAo,Расходники/Бытовой,,14,упаковка.,Рабочее,,,
97,Дартс магнитный," Комплектация: - мишень 37/44.5 см  - дротик 6 шт, тубус",1,https://imgur.com/NEBRTaC,Аренда/Аттракционы,,1,компл.,Рабочее,,,
98,Дартс обычный,"Комплектация:
- мишень 46см
- дротик 6 шт. ",1,https://imgur.com/8jWvSiS,Аренда/Аттракционы,,1,компл.,"Имеются повреждения , Требуется ремонт","Дать комментарий, что конкретно поломано ","Потертая мишень,верхушки  дротиков поломаны",
99,Дверь белая,Дверь межкомнатная ,4,https://imgur.com/sil0XNQ,Аренда/Мебель/Дверь,,4,шт.,Неизвестно,"нужна реальная фотография. По данной картинке, я не помню, чтоб у нас было что-то подобное ",,
100,Двигатель вентиляторов с орошением,Запчасть для уличных вентиляторов с орошением,1,https://imgur.com/VRtCI69,Инструменты/Электроинструмент,,1,шт.,Требуется ремонт,Это точно не относится к аккумуляторному инструменту ,,
101,Двусторонняя клейкая лента,Размер 20м на 48мм,27,https://imgur.com/8yB6fTn,Расходники/упаковочный материал,,27,шт.,Рабочее,,,
102,Подхваты для штор,"Бирюзовые подхваты для штор , в комплекте 2 шт , используется для оформления штор и для украшения",1,https://imgur.com/NZQwpu8,Аренда/Декор ,,1,шт.,Рабочее, a.mitryakhina@bright.su Оно нам нужно? ,,
103,Детали и крепежи для джокерных конструкций,Предназначены для соединения джокерных конструкций,1,https://imgur.com/3EZRNME,Расходники/Строительные,,1,компл.,Рабочее, a.mitryakhina@bright.su Оно нам нужно? ,,
104,Диван 2х местный Астер,"Диван с деревянным каркасом и черной обивкой из искусственной кожи, на 2 места,может идти в комплекте с креслом Аастер(смотреть позицию ниже)",4,https://imgur.com/kdwqke1,Аренда/Мягкая мебель,,4,шт.,Рабочее,,,
105,Диван 3х местный Астер,"Диван с деревянным каркасом и черной обивкой из искусственной кожи, на 3 места, может идти в комплекте с креслом Астер( смотреть позицию ниже)",2,https://imgur.com/kdwqke1,Аренда/Мягкая мебель,,2,шт.,Рабочее,,,
106,Диван белый Клиппан,На хромированных ножках . Материал:искуственная кожа,4,https://imgur.com/TW5LYt9,Аренда/Мягкая мебель,,4,шт.,Требуется химчистка,,,
107,Диван белый ,На хромированных ножках . Материал:искуственная кожа,2,https://imgur.com/w8k7lNy,Аренда/Мягкая мебель,,2,шт.,"Требуется химчистка, Имеются повреждения",,,
108,Диван Клубу,На пластмассовых ножках. Материал: искуственная кожа,3,https://imgur.com/9ez6Efu,Аренда/Мягкая мебель,,3,шт.,Требуется химчистка,,,
109,Игрушка динозавр деревянный,Деревянная развивающая детская игрушка,1,https://imgur.com/3TRkfKr,Аренда/Аксессуары/Детские игрушки,,1,шт.,Рабочее,"Думаю нужно дать категорию Аренда/Аксессуары/детские игрушки 
a.mitryakhina@bright.su Насколько нам выгодно держать такие позиции? У меня много вопросов к этой позиции: 
1) Мы не дезинфицируем их
2) Они у нас хранится на пыльном складе, где бегают мыши, ми их иногда травим, а дети могут это в рот себе засунуть. 
3) В целом эти позиции у нас в ужасном состоянии и комплектации. И может быть рентабельнее было обращаться к кому-то за подобными позициями? Ну или пересмотреть наполнение и подход к хранению и безопасности. Одна из ценностей нашей компании!!",,
110,Дисковая пила сетевая Makita (Костина),"Дисковая( циркулярная) пила предназначена для распиливания древесины,фанеры,полимеров",1,https://imgur.com/Wa37OKR,Инструменты/Электроинструмент,,1,шт.,Требуется ремонт,,,
111,Дождевик черный BRIGHT,Дождевик плащ на кнопках изготовлено из влагозащитного материала (универсальный  размер)  для многоразового использования,12,https://imgur.com/xZih6Mk,Текстиль/Форма менеджеров,,12,шт.,Рабочее,,,
112,Дождевики жёлтые прочные,Дождевик плащ на кнопках изготовлено из плотного влагозащитного материала  для многоразового  использования,7,https://imgur.com/crBFCOr,Текстиль/Форма менеджеров,,7,шт.,Рабочее,,,
113,Документы БРАЙТ,"Документы (2020, 2021, 2022 года)",7,https://imgur.com/eJ1MOUq,,,7,коробка.,Неизвестно,,,
114,Елка белая,Для праздника и мероприятий,2,https://imgur.com/EHZ97tj,Аренда/Декор ,,2,шт.,Имеются повреждения ,"Нет такой категории,  как ""Аренда/Новый год""
Есть такая категория как ""Аренда/Декор"", а дальше можно уточнить какой декор и сделать третью категорию в категории декора и получится ""Аренда/Декор/Новый Год""",,
115,Елка большая,Для праздника и мероприятий,1,https://imgur.com/HJ6CcxL,Аренда/Декор ,,1,шт.,Рабочее,,,
116,Елка маленькая,Для праздника и мероприятий,1,https://imgur.com/Jtui9sc,Аренда/Декор ,,1,шт.,Имеются повреждения ,,,
117,Елка металлич.с неоном,Для праздника и мероприятий,2,https://imgur.com/YK2TSbp,Аренда/Декор ,,2,шт.,Рабочее,,,
118,Жезл,Предназначен для регулировки движения,6,https://imgur.com/WhUMcUz,Аренда/Доп.оборудование,,6,шт.,Имеются повреждения,Думаю наименование нужно более развернутое сделать. Это точно не Аттракцион ,,
119,Жидкое мыло,"0,5 л в ассортименте",12,https://imgur.com/SUxt7w7,Расходники/Бытовой,,12,шт.,Рабочее,,,
120,Жилет спасательный,Защитный аксессуар,1,https://imgur.com/ztTEJRH,Аренда/Доп.оборудование,,1,шт.,Имеются повреждения,a.mitryakhina@bright.su Зачем нам одна единица этой позиции? ,,
121,Столик журнальный в стиле лофт ,Квадратная белая столешница на металлическом каркасе. Размер: высота 44см. ширина 60.5см,2,https://imgur.com/EwM0Gnt,Аренда/Мебель/Столы,,2,шт.,Рабочее,,,
122,Столик журнальный в стиле лофт ,"Светло коричневая столешница на металлическом каркасе. Размер: высота 50см,глубина 80см, ширина 40см",2,https://imgur.com/RjkNWYL,Аренда/Мебель/Столы,,2,шт.,Рабочее,,,
